,Artist,Song Title,Year
3288,Tina Turner,Private Dancer,1985
3289,Aretha Franklin,Who's Zoomin' Who,1985
3290,Sting,Fortress Around Your Heart,1985
3291,Lionel Richie,Penny Lover,1985
3292,Don Henley,All She Wants To Do Is Dance,1985
3293,Madonna,Dress You Up,1985
3294,Night Ranger,Sentimental Street,1985
3295,Sheena Easton,Sugar Walls,1985
3296,Dionne and Friends,That's What Friends Are For,1986
3297,Lionel Richie,"Say You, Say Me",1986
3298,Klymaxx,I Miss You,1986
3299,Patti Labelle and Michael McDonald,On My Own,1986
3300,Mr. Mister,Broken Wings,1986
3301,Whitney Houston,How Will I Know,1986
3302,Eddie Murphy,Party All The Time,1986
3303,Survivor,Burning Heart,1986
3304,Mr. Mister,Kyrie,1986
3305,Robert Palmer,Addicted To Love,1986
3306,Whitney Houston,Greatest Love Of All,1986
3307,Atlantic Starr,Secret Lovers,1986
3308,Carl Anderson and Gloria Loring,Friends And Lovers,1986
3309,Peter Cetera,Glory Of Love,1986
3310,Pet Shop Boys,West End Girls,1986
3311,Billy Ocean,There'll Be Sad Songs,1986
3312,Simple Minds,Alive And Kicking,1986
3313,Heart,Never,1986
3314,Prince and The Revolution,Kiss,1986
3315,Steve Winwood,Higher Love,1986
3316,Huey Lewis and The News,Stuck With You,1986
3317,Simply Red,Holding Back The Years,1986
3318,Peter Gabriel,Sledgehammer,1986
3319,Starship,Sara,1986
3320,Human League,Human,1986
3321,Nu Shooz,I Can't Wait,1986
3322,Berlin,Take My Breath Away,1986
3323,Falco,Rock Me Amadeus,1986
3324,Madonna,Papa Don't Preach,1986
3325,Bon Jovi,You Give Love A Bad Name,1986
3326,Billy Ocean,When The Going Gets Tough,1986
3327,Janet Jackson,When I Think Of You,1986
3328,Heart,These Dreams,1986
3329,Glass Tiger,Don't Forget Me (When I'm Gone),1986
3330,Madonna,Live To Tell,1986
3331,Belinda Carlisle,Mad About You,1986
3332,Level 42,Something About You,1986
3333,Bananarama,Venus,1986
3334,Lionel Richie,Dancing On The Ceiling,1986
3335,Miami Sound Machine,Conga,1986
3336,Cyndi Lauper,True Colors,1986
3337,Kenny Loggins,Danger Zone,1986
3338,Janet Jackson,What Have You Done For Me Lately,1986
3339,Howard Jones,No One Is To Blame,1986
3340,Sly Fox,Let's Go All The Way,1986
3341,Robert Palmer,I Didn't Mean To Turn You On,1986
3342,Miami Sound Machine,Words Get In The Way,1986
3343,Bangles,Manic Monday,1986
3344,Dire Straits,Walk Of Life,1986
3345,Boston,Amanda,1986
3346,Stacey Q,Two Of Hearts,1986
3347,Jets,Crush On You,1986
3348,Orchestral Manoeuvres In The Dark,If You Leave,1986
3349,Genesis,Invisible Touch,1986
3350,Sade,The Sweetest Taboo,1986
3351,INXS,What You Need,1986
3352,Stevie Nicks,Talk To Me,1986
3353,Janet Jackson,Nasty,1986
3354,Eddie Money,Take Me Home Tonight,1986
3355,Jermaine Stewart,We Don't Have To Take Our Clothes Off,1986
3356,Lisa Lisa and Cult Jam With Full Force,All Cried Out,1986
3357,Outfield,Your Love,1986
3358,Wham!,I'm Your Man,1986
3359,Scritti Politti,Perfect Way,1986
3360,James Brown,Living In America,1986
3361,John Cougar Mellencamp,R.O.C.K. In The U.S.A.,1986
3362,El Debarge,Who's Johnny,1986
3363,Cameo,Word Up,1986
3364,Van Halen,Why Can't This Be Love,1986
3365,Mike and The Mechanics,Silent Running,1986
3366,Tina Turner,Typical Male,1986
3367,John Cougar Mellencamp,Small Town,1986
3368,Baltimora,Tarzan Boy,1986
3369,Mike and The Mechanics,All I Need Is A Miracle,1986
3370,Michael McDonald,Sweet Freedom,1986
3371,Madonna,True Blue,1986
3372,Timex Social Club,Rumors,1986
3373,Dream Academy,Life In A Northern Town,1986
3374,Miami Sound Machine,Bad Boy,1986
3375,ZZ Top,Sleeping Bag,1986
3376,Cars,Tonight She Comes,1986
3377,Rod Stewart,Love Touch,1986
3378,Sheila E.,A Love Bizarre,1986
3379,Genesis,Throwing It All Away,1986
3380,Regina,Baby Love,1986
3381,Arcadia,Election Day,1986
3382,Elton John,Nikita,1986
3383,Phil Collins,Take Me Home,1986
3384,Run-D.M.C.,Walk This Way,1986
3385,Anita Baker,Sweet Love,1986
3386,Moody Blues,Your Wildest Dreams,1986
3387,Paul McCartney,Spies Like Us,1986
3388,Starpoint,Object Of My Desire,1986
3389,Daryl Hall,Dreamtime,1986
3390,Force M.D.'s,Tender Love,1986
3391,Thompson Twins,King For A Day,1986
3392,Lionel Richie,Love Will Conquer All,1986
3393,George Michael,A Different Corner,1986
3394,Toto,I'll Be Over You,1986
3395,Stevie Wonder,Go Home,1986
3396,Bangles,Walk Like An Egyptian,1987
3397,Heart,Alone,1987
3398,Gregory Abbott,Shake You Down,1987
3399,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987
3400,Starship,Nothing's Gonna Stop Us Now,1987
3401,Robbie Nevil,C'est La Vie,1987
3402,Whitesnake,Here I Go Again,1987
3403,Bruce Hornsby and The Range,The Way It Is,1987
3404,Bob Seger,Shakedown,1987
3405,Bon Jovi,Livin' On A Prayer,1987
3406,Los Lobos,La Bamba,1987
3407,Wang Chung,Everybody Have Fun Tonight,1987
3408,Crowded House,Don't Dream It's Over,1987
3409,Atlantic Starr,Always,1987
3410,U2,With Or Without You,1987
3411,Jody Watley,Looking For A New Love,1987
3412,Lisa Lisa and Cult Jam,Head To Toe,1987
3413,Tiffany,I Think We're Alone Now,1987
3414,Billy Idol,Mony Mony,1987
3415,Billy Vera and The Beaters,At This Moment,1987
3416,Chris De Burgh,The Lady In Red,1987
3417,Whitney Houston,Didn't We Almost Have It All,1987
3418,U2,I Still Haven't Found What I'm Looking For,1987
3419,George Michael,I Want Your Sex,1987
3420,Duran Duran,Notorious,1987
3421,Debbie Gibson,Only In My Dreams,1987
3422,Bill Medley and Jennifer Warnes,(I've Had) The Time Of My Life,1987
3423,Peter Cetera and Amy Grant,The Next Time I Fall,1987
3424,Club Nouveau,Lean On Me,1987
3425,Madonna,Open Your Heart,1987
3426,Lisa Lisa and Cult Jam,Lost In Emotion,1987
3427,Cutting Crew,(I Just) Died In Your Arms,1987
3428,T'pau,Heart And Soul,1987
3429,Kim Wilde,You Keep Me Hangin' On,1987
3430,Georgia Satellites,Keep Your Hands To Yourself,1987
3431,Aretha Franklin and George Michael,I Knew You Were Waiting (For Me),1987
3432,Janet Jackson,Control,1987
3433,Prince,U Got The Look,1987
3434,Linda Ronstadt and James Ingram,Somewhere Out There,1987
3435,Genesis,Land Of Confusion,1987
3436,Huey Lewis and The News,Jacob's Ladder,1987
3437,Madonna,Who's That Girl,1987
3438,Jets,You Got It All,1987
3439,Samantha Fox,Touch Me (I Want Your Body),1987
3440,Michael Jackson and Siedah Garrett,I Just Can't Stop Loving You,1987
3441,Madonna,Causing A Commotion,1987
3442,Genesis,In Too Deep,1987
3443,Janet Jackson,Let's Wait Awhile,1987
3444,Huey Lewis and The News,Hip To Be Square,1987
3445,Chicago,Will You Still Love Me?,1987
3446,Fleetwood Mac,Little Lies,1987
3447,Suzanne Vega,Luka,1987
3448,Bananarama,I Heard A Rumour,1987
3449,Richard Marx,Don't Mean Nothing,1987
3450,Kenny G,Songbird,1987
3451,Europe,Carrie,1987
3452,System,Don't Disturb This Groove,1987
3453,Madonna,La Isla Bonita,1987
3454,Michael Jackson,Bad,1987
3455,Prince,Sign 'O' The Times,1987
3456,Cyndi Lauper,Change Of Heart,1987
3457,Expose,Come Go With Me,1987
3458,Dan Hill,Can't We Try,1987
3459,Billy Idol,To Be A Lover,1987
3460,Bruce Hornsby and The Range,Mandolin Rain,1987
3461,Swing Out Sister,Breakout,1987
3462,Ben E. King,Stand By Me,1987
3463,Genesis,"Tonight, Tonight, Tonight",1987
3464,Glass Tiger,Someday,1987
3465,ABC,When Smokey Sings,1987
3466,Levert,Casanova,1987
3467,Gloria Estefan and Miami Sound Machine,Rhythm Is Gonna Get You,1987
3468,Whispers,Rock Steady,1987
3469,Bon Jovi,Wanted Dead Or Alive,1987
3470,Peter Gabriel,Big Time,1987
3471,Steve Winwood,The Finer Things,1987
3472,Expose,Let Me Be The One,1987
3473,Survivor,Is This Love,1987
3474,Herb Alpert,Diamonds,1987
3475,Expose,Point Of No Return,1987
3476,Fleetwood Mac,Big Love,1987
3477,Lou Gramm,Midnight Blue,1987
3478,Crowded House,Something So Strong,1987
3479,Bryan Adams,Heat Of The Night,1987
3480,Glenn Medeiros,Nothing's Gonna Change My Love For You,1987
3481,Bruce Springsteen,Brilliant Disguise,1987
3482,Smokey Robinson,Just To See Her,1987
3483,Heart,Who Will You Run Too,1987
3484,Bruce Willis,Respect Yourself,1987
3485,Jets,Cross My Broken Heart,1987
3486,Kool and The Gang,Victory,1987
3487,Pretenders,Don't Get Me Wrong,1987
3488,Huey Lewis and The News,Doing It All For My Baby,1987
3489,Breakfast Club,Right On Track,1987
3490,Lionel Richie,Ballerina Girl,1987
3491,Kenny Loggins,Meet Me Half Way,1987
3492,Cutting Crew,I've Been In Love Before,1987
3493,Beastie Boys,(You Gotta) Fight For Your Right (To Party),1987
3494,Pseudo Echo,Funkytown,1987
3495,Ready For The World,Love You Down,1987
3496,George Michael,Faith,1988
3497,INXS,Need You Tonight,1988
3498,George Harrison,Got My Mind Set On You,1988
3499,Rick Astley,Never Gonna Give You Up,1988
3500,Guns N' Roses,Sweet Child O' Mine,1988
3501,Whitney Houston,So Emotional,1988
3502,Belinda Carlisle,Heaven Is A Place On Earth,1988
3503,Tiffany,Could've Been,1988
3504,Breathe,Hands To Heaven,1988
3505,Steve Winwood,Roll With It,1988
3506,George Michael,One More Try,1988
3507,Terence Trent d'Arby,Wishing Well,1988
3508,Gloria Estefan and Miami Sound Machine,Anything For You,1988
3509,Cheap Trick,The Flame,1988
3510,Billy Ocean,"Get Outta My Dreams, Get Into My Car",1988
3511,Expose,Seasons Change,1988
3512,Whitesnake,Is This Love,1988
3513,Escape Club,"Wild, Wild West",1988
3514,Def Leppard,Pour Some Sugar On Me,1988
3515,Taylor Dayne,I'll Always Love You,1988
3516,Michael Jackson,Man In The Mirror,1988
3517,Debbie Gibson,Shake Your Love,1988
3518,Robert Palmer,Simply Irresistible,1988
3519,Richard Marx,Hold On To The Nights,1988
3520,Eric Carnen,Hungry Eyes,1988
3521,Johnny Hates Jazz,Shattered Dreams,1988
3522,George Michael,Father Figure,1988
3523,Samantha Fox,Naughty Girls (Need Love Too),1988
3524,Phil Collins,A Groovy Kind Of Love,1988
3525,Def Leppard,Love Bites,1988
3526,Richard Marx,Endless Summer Nights,1988
3527,Debbie Gibson,Foolish Beat,1988
3528,Whitney Houston,Where Do Broken Hearts Go,1988
3529,Aerosmith,Angel,1988
3530,Bangles,Hazy Shade Of Winter,1988
3531,Michael Jackson,The Way You Make Me Feel,1988
3532,Bobby McFerrin,"Don't Worry, Be Happy",1988
3533,Eric Carnen,Make Me Lose Control,1988
3534,UB40,Red Red Wine,1988
3535,Patric Swayze,She's Like The Wind,1988
3536,Bon Jovi,Bad Medicine,1988
3537,Beach Boys,Kokomo,1988
3538,Elton John,I Don't Wanna Go On With You Like That,1988
3539,Rick Astley,Together Forever,1988
3540,George Michael,Monkey,1988
3541,INXS,Devil Inside,1988
3542,Richard Marx,Should've Known Better,1988
3543,Chicago,I Don't Wanna Live Without Your Love,1988
3544,Kylie Minogue,The Loco-Motion,1988
3545,Pet Shop Boys and Dusty Springfield,What Have I Done To Deserve This?,1988
3546,Jets,Make It Real,1988
3547,Information Society,What's On Your Mind,1988
3548,Taylor Dayne,Tell It To My Heart,1988
3549,Debbie Gibson,Out Of The Blue,1988
3550,Jody Watley,Don't You Want Me,1988
3551,U2,Desire,1988
3552,Belinda Carlisle,I Get Weak,1988
3553,Terence Trent d'Arby,Sign Your Name,1988
3554,Roger,I Want To Be Your Man,1988
3555,Pebbles,Girlfriend,1988
3556,Michael Jackson,Dirty Diana,1988
3557,Gloria Estefan and Miami Sound Machine,1-2-3,1988
3558,Pebbles,Mercedes Boy,1988
3559,Huey Lewis and The News,Perfect World,1988
3560,INXS,New Sensation,1988
3561,Pretty Poison,Catch Me (I'm Falling),1988
3562,New Edition,If It Isn't Love,1988
3563,Jets,Rocket 2 U,1988
3564,Peter Cetera,One Good Woman,1988
3565,Cheap Trick,Don't Be Cruel,1988
3566,Elton John,Candle In The Wind,1988
3567,Daryl Hall and John Oates,Everything Your Heart Desires,1988
3568,Foreigner,Say You Will,1988
3569,Keith Sweat,I Want Her,1988
3570,Natalie Cole,Pink Cadillac,1988
3571,Tracy Chapman,Fast Car,1988
3572,Icehouse,Electric Blue,1988
3573,Bruce Hornsby and The Range,The Valley Road,1988
3574,Bobby Brown,Don't Be Cruel,1988
3575,Pet Shop Boys,Always On My Mind,1988
3576,Brenda Russell feat. Joe Esposito,Piano In The Dark,1988
3577,Van Halen,When It's Love,1988
3578,Paul Carrack,Don't Shed A Tear,1988
3579,Sting,We'll Be Together,1988
3580,Joan Jett and The Blackhearts,I Hate Myself For Loving You,1988
3581,Foreigner,I Don't Want To Live Without You,1988
3582,Al B. Sure!,Nite And Day,1988
3583,Steve Winwood,Don't You Know What The Night Can Do,1988
3584,Whitney Houston,One Moment In Time,1988
3585,Gloria Estefan and Miami Sound Machine,Can't Stay Away From You,1988
3586,George Michael,Kissing A Fool,1988
3587,John Cougar Mellancamp,Cherry Bomb,1988
3588,Brenda K. Starr,I Still Believe,1988
3589,Cher,I Found Someone,1988
3590,INXS,Never Tear Us Apart,1988
3591,Steve Winwood,Valerie,1988
3592,David Lee Roth,Just Like Paradise,1988
3593,Poison,Nothin' But A Good Time,1988
3594,White Lion,Wait,1988
3595,Taylor Dayne,Prove Your Love,1988
3596,Chicago,Look Away,1989
3597,Bobby Brown,My Prerogative,1989
3598,Poison,Every Rose Has Its Thorn,1989
3599,Paula Abdul,Straight Up,1989
3600,Janet Jackson,Miss You Much,1989
3601,Paula Abdul,Cold Hearted,1989
3602,Bette Midler,Wind Beneath My Wings,1989
3603,Milli Vanilli,Girl You Know It's True,1989
3604,Will To Power,"Baby, I Love Your Way-Freebird",1989
3605,Anita Baker,Giving You The Best That I Got,1989
3606,Richard Marx,Right Here Waiting,1989
3607,Boy Meets Girl,Waiting For A Star To Fall,1989
3608,Debbie Gibson,Lost In Your Eyes,1989
3609,Gloria Estefan,Don't Wanna Lose You,1989
3610,Warrant,Heaven,1989
3611,Milli Vanilli,Girl I'm Gonna Miss You,1989
3612,Roxette,The Look,1989
3613,Fine Young Cannibals,She Drives Me Crazy,1989
3614,Bobby Brown,On Our Own,1989
3615,Phil Collins,Two Hearts,1989
3616,Milli Vanilli,Blame It On The Rain,1989
3617,Roxette,Listen To Your Heart,1989
3618,Bon Jovi,I'll Be There For You,1989
3619,Simply Red,If You Don't Know Be By Now,1989
3620,Madonna,Like A Prayer,1989
3621,New Kids On The Block,I'll Be Loving You (Forever),1989
3622,Breathe,How Can I Fall?,1989
3623,Milli Vanilli,Baby Don't Forget My Number,1989
3624,Martika,Toy Soliders,1989
3625,Paula Abdul,Forever Your Girl,1989
3626,Mike and The Mechanics,The Living Years,1989
3627,Bangles,Eternal Flame,1989
3628,Tone Loc,Wild Thing,1989
3629,Bad English,When I See You Smile,1989
3630,Cher,If I Could Turn Back Time,1989
3631,Neneh Cherry,Buffalo Stance,1989
3632,Sheriff,When I'm With You,1989
3633,Taylor Dayne,Don't Rush Me,1989
3634,Bon Jovi,Born To Be My Baby,1989
3635,Fine Young Cannibals,Good Thing,1989
3636,Sheena Easton,The Lover In Me,1989
3637,Young M.C.,Bust A Move,1989
3638,Great White,"Once Bitten, Twice Shy",1989
3639,Prince,Batdance,1989
3640,Michael Damian,Rock On,1989
3641,Jody Watley,Real Love,1989
3642,B-52's,Love Shack,1989
3643,Bobby Brown,Every Little Step,1989
3644,New Kids On The Block,Hangin' Tough,1989
3645,Rod Stewart,My Heart Can't Tell You No,1989
3646,Love and Rockets,So Alive,1989
3647,New Kids On The Block,You Got It (The Right Stuff),1989
3648,Def Leppard,Armageddon It,1989
3649,Richard Marx,Satisfied,1989
3650,Madonna,Express Yourself,1989
3651,Dino,I Like It,1989
3652,Donny Osmond,Soldier Of Love,1989
3653,Tears For Fears,Sowing The Seeds Of Love,1989
3654,Madonna,Cherish,1989
3655,White Lion,When The Children Cry,1989
3656,Skid Row,18 And Life,1989
3657,Duran Duran,I Don't Want Your Love,1989
3658,.38 Special,Second Chances,1989
3659,Karyn White,The Way You Love Me,1989
3660,Tone Loc,Funky Cold Medina,1989
3661,Bangles,In Your Room,1989
3662,Natalie Cole,Miss You Like Crazy,1989
3663,Cure,Love Song,1989
3664,Karyn White,Secret Rendesvous,1989
3665,Jeff Healey Band,Angel Eyes,1989
3666,Guns N' Roses,Patience,1989
3667,Eddie Money,Walk On Water,1989
3668,New Kids On The Block,Cover Girl,1989
3669,Guns N' Roses,Welcome To The Jungle,1989
3670,Surface,Shower Me With Your Love,1989
3671,R.E.M.,Stand,1989
3672,Lita Ford,Close My Eyes Forever,1989
3673,Tiffany,All This Time,1989
3674,Cher and Peter Cetera,After All,1989
3675,Bobby Brown,Roni,1989
3676,Aerosmith,Love In An Elevator,1989
3677,Bon Jovi,Lay Your Hands On Me,1989
3678,When In Rome,This Promise,1989
3679,Edie Brickell and The New Bohemians,What I Am,1989
3680,Boys Club,I Remember Holding You,1989
3681,Guns N' Roses,Paradise City,1989
3682,Samantha Fox,Iwanna Have Some Fun,1989
3683,Rick Astley,She Wants To Dance With Me,1989
3684,Vanessa Williams,Dreamin',1989
3685,Babyface,It's No Crime,1989
3686,Alice Cooper,Poison,1989
3687,Donna Summer,This Time I Know It's For Real,1989
3688,Michael Jackson,Smooth Criminal,1989
3689,Deon Estus,Heavan Help Me,1989
3690,Bobby Brown,Rock Wit'cha,1989
3691,Sa-fire,Thinking Of You,1989
3692,Expose,What You Don't Know,1989
3693,Ann Wilson and Robin Zander,Surrender To Me,1989
3694,Don Henley,The End Of The Innocence,1989
3695,Soul II Soul,Keep On Movin',1989
3696,Wilson Phillips,Hold On,1990
3697,Roxette,It Must Have Been Love,1990
3698,Sinead O'Connor,Nothing Compares 2 U,1990
3699,Bell Biv Devoe,Poison,1990
3700,Madonna,Vogue,1990
3701,Mariah Carey,Vision Of Love,1990
3702,Phil Collins,Another Day In Paradise,1990
3703,En Vogue,Hold On,1990
3704,Billy Idol,Cradle Of Love,1990
3705,Jon Bon Jovi,Blaze Of Glory,1990
3706,Bell Biv Devoe,Do Me!,1990
3707,Michael Bolton,How Am I Supposed To Live Without You,1990
3708,Technotronic,Pump Up The Jam,1990
3709,Paula Abdul,Opposites Attract,1990
3710,Janet Jackson,Escapade,1990
3711,Heart,All I Wanna Do Is Make Love To You,1990
3712,Maxi Priest,Close To You,1990
3713,Alannah Myles,Black Velvet,1990
3714,Wilson Phillips,Release Me,1990
3715,Linda Ronstadt and Aaron Neville,Don't Know Much,1990
3716,Lisa Stansfield,All Around The World,1990
3717,Calloway,I Wanna Be Rich,1990
3718,Johnny Gill,Rub You The Right Way,1990
3719,Glenn Medeiros feat. Bobby Brown,She Ain't Worth It,1990
3720,Sweet Sensation,If Wishes Came True,1990
3721,Snap,The Power,1990
3722,Nelson,(Can't Live Without Your) Love And Affection,1990
3723,Taylor Dayne,Love Will Lead You Back,1990
3724,Jane Child,Don't Wanna Fall In Love,1990
3725,Seduction,Two To Make It Right,1990
3726,Linear,Sending All My Love,1990
3727,Poison,Unskinny Bop,1990
3728,New Kids On The Block,Step By Step,1990
3729,Roxette,Dangerous,1990
3730,Billy Joel,We Didn't Start The Fire,1990
3731,James Ingram,I Don't Have The Heart,1990
3732,Rod Stewart,Downtown Train,1990
3733,Janet Jackson,Rhythm Nation,1990
3734,Tommy Page,I'll Be Your Everything,1990
3735,B-52's,Roam,1990
3736,Jody Watley,Everything,1990
3737,Soul II Soul,Back to Life (However Do You Want Me),1990
3738,Luther Vandross,Here And Now,1990
3739,Janet Jackson,Alright,1990
3740,Vanilla Ice,Ice Ice Baby,1990
3741,Milli Vanilli,Blame It On The Rain,1990
3742,M.C. Hammer,Have You Seen Her,1990
3743,Taylor Dayne,With Every Beat Of My Heart,1990
3744,Janet Jackson,Come Back To Me,1990
3745,Michel'le,No More Lies,1990
3746,George Michael,Praying For Time,1990
3747,Michael Bolton,How Can We Be Lovers,1990
3748,Phil Collins,Do You Remember,1990
3749,After 7,Ready Or Not,1990
3750,M.C. Hammer,U Can't Touch This,1990
3751,Phil Collins,I Wish It Would Rain Down,1990
3752,Lou Gramm,Just Between You And Me,1990
3753,Phil Collins,Something Happened On The Way To Heaven,1990
3754,Janet Jackson,Black Cat,1990
3755,After 7,Can't Stop,1990
3756,Aerosmith,Janie's Got A Gun,1990
3757,Digital Underground,The Humpty Dance,1990
3758,Taylor Dayne,I'll Be Your Shelter,1990
3759,Tom Petty,Free Fallin',1990
3760,Pebbles,Giving You The Benefit,1990
3761,Depeche Mode,Enjoy The Silence,1990
3762,Tesla,Love Song,1990
3763,Bad English,Price Of Love,1990
3764,Tyler Collins,Girls Nite Out,1990
3765,Go West,King Of Wishful Thinking,1990
3766,Chicago,What Kind Of Man Would I Be?,1990
3767,Skid Row,I Remember You,1990
3768,Technotronic,Get Up! (Before The Night Is Over),1990
3769,Gloria Estefan,Here We Are,1990
3770,Faith No More,Epic,1990
3771,Mariah Carey,Love Takes Time,1990
3772,Cher,Just Like Jesse James,1990
3773,B-52s,Love Shack,1990
3774,Milli Vanilli,All Or Nothing,1990
3775,Dino,Romeo,1990
